energy,L,J,totalWidth,neutronWidth,captureWidth
-2716.177,1,1.0,1.476663,0.02184714,1.464861
-2640.269,0,2.0,5.292229,0.02196065,1.472472
-1909.356,0,2.0,1.653259,0.02196065,1.472472
-1907.144,1,2.0,1.288757,0.01912662,1.282449
-1619.382,0,2.0,1.875327,0.02196065,1.472472
-1496.623,0,3.0,3.775874,0.01955616,1.31125
-1476.867,1,2.0,1.291945,0.01912662,1.282449
-1371.207,1,1.0,1.465119,0.02184714,1.464861
-1108.834,1,4.0,0.9416219,0.0140427,0.9415696
-1065.135,1,3.0,1.140181,0.01700412,1.140134
-915.3486,1,3.0,1.142133,0.01700412,1.140134
-641.7695,1,4.0,0.9434822,0.0140427,0.9415696
-547.7769,1,1.0,1.467608,0.02184714,1.464861
-474.2505,1,4.0,0.941606,0.0140427,0.9415696
-416.165,0,3.0,2.182475,0.01955616,1.31125
-173.3706,1,3.0,1.140222,0.01700412,1.140134
-133.1077,0,3.0,1.315117,0.01955616,1.31125
-106.1441,1,2.0,1.282449,0.01912662,1.282449
24.74312,0,2.0,1.988497,0.543375,1.472472
82.7263,0,3.0,1.367358,1.617809,1.31125
359.7213,0,2.0,2.882393,7.899714,1.472472
629.3353,0,3.0,1.605446,12.30738,1.31125
1090.634,0,2.0,1.609108,23.95104,1.472472
1215.616,0,3.0,7.499349,23.77279,1.31125
1380.608,0,2.0,1.844443,30.31905,1.472472
1503.367,0,3.0,3.781422,29.40009,1.31125
2452.213,1,1.0,1.490726,53.57384,1.464861
2583.825,0,3.0,3.482097,50.52971,1.31125
2866.882,0,3.0,1.329196,56.06522,1.31125
3024.733,0,2.0,7.177882,66.42511,1.472472
3082.716,0,3.0,1.653756,60.2861,1.31125
3359.711,0,2.0,5.781334,73.78145,1.472472
3546.924,1,4.0,0.9841921,49.80839,0.9415696
3629.325,0,3.0,2.017744,70.97568,1.31125
3876.5,1,3.0,1.249484,65.91646,1.140134
4090.624,0,2.0,1.73709,89.83277,1.472472
4215.606,0,3.0,12.83487,82.44108,1.31125
4523.113,1,2.0,1.332878,86.51187,1.282449
5452.203,1,1.0,1.549834,119.115,1.464861
