energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-5.433,0,0.5,0.024713,0.002253,0.02237,9e-05
2.676,0,0.5,0.027002,0.002,0.025,2e-06
14.6,0,0.5,0.022061,6.1e-05,0.022,0.0
22.56,0,0.5,0.02029,0.00029,0.02,0.0
40.95,0,0.5,0.02945,0.00045,0.029,0.0
53.46,0,0.5,0.0732019,0.052,0.0212,1.9e-06
67.6,0,0.5,0.02763,0.0046,0.023,3e-05
88.45,0,0.5,0.022681,0.00066,0.022,2.1e-05
107.32,0,0.5,0.039034,0.018,0.021,3.4e-05
131.4,0,0.5,0.032237,0.0062,0.026,3.7e-05
141.4,1,1.5,0.02206,6e-05,0.022,0.0
149.7,0,0.5,0.036035,0.015,0.021,3.5e-05
163.5,0,0.5,0.02252,0.00052,0.022,0.0
205.0,0,0.5,0.077041,0.055,0.022,4.1e-05
210.0,0,0.5,0.02242,0.00042,0.022,0.0
215.3,0,0.5,0.02735,0.00525,0.022,0.0001
219.3,1,1.5,0.022345,0.000125,0.022,0.00022
232.7,0,0.5,0.03282,0.0047,0.028,0.00012
264.5,1,1.5,0.02218,0.00018,0.022,0.0
272.0,1,0.5,0.02208,8e-05,0.022,0.0
273.6,0,0.5,0.039081,0.016,0.023,8.1e-05
274.8,1,1.5,0.022085,8.5e-05,0.022,0.0
281.1,1,1.5,0.022065,6.5e-05,0.022,0.0
298.7,0,0.5,0.0344,0.0084,0.026,0.0
303.6,0,0.5,0.0408,0.0178,0.0225,0.0005
319.9,0,0.5,0.247017,0.225,0.022,1.7e-05
327.6,1,1.5,0.02225,0.00025,0.022,0.0
332.4,0,0.5,0.096018,0.071,0.025,1.8e-05
374.3,0,0.5,0.028414,0.0064,0.022,1.4e-05
379.6,1,1.5,0.022135,0.000135,0.022,0.0
382.3,0,0.5,0.07250441,0.05,0.0225,4.4e-06
396.1,0,0.5,0.0245,0.0025,0.022,0.0
399.9,0,0.5,0.0238,0.0018,0.022,0.0
410.6,0,0.5,0.02951,0.0075,0.022,1e-05
424.1,0,0.5,0.02628,0.0041,0.022,0.00018
425.2,1,1.5,0.02214,0.00014,0.022,0.0
468.4,1,0.5,0.02201,1e-05,0.022,0.0
473.7,1,1.5,0.0228,0.00048,0.022,0.00032
482.5,0,0.5,0.04482,0.0209,0.0235,0.00042
494.8,1,1.5,0.022135,0.000135,0.022,0.0
503.9,0,0.5,0.172078,0.15,0.022,7.8e-05
536.6,0,0.5,0.121043,0.1,0.021,4.3e-05
548.3,0,0.5,0.099077,0.074,0.025,7.7e-05
576.1,0,0.5,0.052036,0.03,0.022,3.6e-05
595.0,0,0.5,0.055019,0.034,0.021,1.9e-05
599.8,0,0.5,0.03078,0.0087,0.022,8e-05
610.8,0,0.5,0.03405,0.012,0.022,5e-05
638.5,0,0.5,0.02644,0.0044,0.022,4e-05
665.0,0,0.5,0.02476,0.0027,0.022,6e-05
669.3,0,0.5,0.035051,0.013,0.022,5.1e-05
693.2,0,0.5,0.06424,0.042,0.022,0.00024
711.6,0,0.5,0.149541,0.13,0.0195,4.1e-05
727.6,0,0.5,0.02525,0.0032,0.022,5e-05
736.7,0,0.5,0.12745,0.105,0.022,0.00045
755.1,0,0.5,0.16,0.137,0.0215,0.0015
761.2,0,0.5,0.1088,0.0038,0.022,0.083
788.5,0,0.5,0.08358,0.06,0.022,0.00158
793.4,0,0.5,0.147021,0.125,0.022,2.1e-05
824.5,0,0.5,0.0252,0.003,0.022,0.0002
837.7,0,0.5,0.058037,0.038,0.02,3.7e-05
856.3,0,0.5,0.057082,0.035,0.022,8.2e-05
865.4,0,0.5,0.032537,0.0105,0.022,3.7e-05
878.1,0,0.5,0.084033,0.058,0.026,3.3e-05
886.4,0,0.5,0.051414,0.0224,0.029,1.4e-05
922.8,0,0.5,0.077526,0.0595,0.018,2.6e-05
