energy,Al28 + photon [inclusive] width,n + Al27 width,J,Pi,L
-4585600.0,0.99675,3291200.0,2,1,0
-16628.0,1.5964,23.917,2,1,0
34827.51,2.679,3347.6,2,1,0
203556.0,3.4164,13406.0,2,1,0
429510.1,0.50703,51991.0,2,1,0
490416.3,0.4909,2885.6,2,1,0
714903.4,2.21,1452.4,2,1,0
822131.3,2.21,8502.6,2,1,0
1120000.0,2.0,114700.0,2,1,0
1630000.0,2.0,37262.0,2,1,0
-312910.0,0.99595,14705.0,3,1,0
-185070.0,0.94738,56085.0,3,1,0
-3143.0,1.1111,18.01,3,1,0
86267.72,2.0617,10938.0,3,1,0
142925.6,3.3426,18695.0,3,1,0
280288.8,2.2745,14174.0,3,1,0
386353.5,0.6113,2303.3,3,1,0
526195.7,0.9788,5141.2,3,1,0
586240.0,1.376,4596.0,3,1,0
614569.4,0.70959,13646.0,3,1,0
786709.5,2.21,24241.0,3,1,0
873858.3,2.21,10400.0,3,1,0
1290000.0,2.0,214240.0,3,1,0
1460000.0,2.0,38615.0,3,1,0
5904.677,0.60876,16.695,1,-1,1
24306.06,0.0116,1.539,1,-1,1
99731.68,1.793,4.39,1,-1,1
103837.6,0.6174,3.756,1,-1,1
220294.4,0.576,10.0,1,-1,1
494375.4,0.5038,999.89,1,-1,1
707707.6,1.13,10010.0,1,-1,1
725166.4,1.13,890.7,1,-1,1
782103.6,1.13,4577.7,1,-1,1
1300000.0,2.0,81305.0,1,-1,1
91248.52,0.367,201.8,2,-1,1
146205.3,0.1986,114.6,2,-1,1
224055.0,1.17,471.26,2,-1,1
376071.9,0.654,2909.2,2,-1,1
415747.7,5.0551,21101.0,2,-1,1
490117.1,0.376,2335.0,2,-1,1
651967.6,0.4506,3583.8,2,-1,1
762720.7,1.13,84928.0,2,-1,1
1100000.0,2.0,3400.0,2,-1,1
367949.3,1.539,4398.3,2,-1,1
523432.8,1.659,7200.3,2,-1,1
774592.1,1.13,6725.6,2,-1,1
120007.2,2.1605,2815.2,3,-1,1
158732.6,0.8442,3427.7,3,-1,1
203758.5,0.9469,4.522,3,-1,1
257355.8,0.5869,799.64,3,-1,1
477351.9,0.6811,1273.4,3,-1,1
569534.7,1.6426,17255.0,3,-1,1
647302.8,2.6252,10328.0,3,-1,1
948366.2,1.13,149270.0,3,-1,1
366848.2,1.518,4619.0,4,-1,1
598238.8,0.29,1547.7,4,-1,1
858106.9,1.13,4380.0,4,-1,1
360344.4,8.371,266.8,0,1,2
521237.4,3.348,35913.0,0,1,2
315049.2,2.4354,8154.2,1,1,2
546264.3,0.735,95.45,1,1,2
698920.9,1.09,53.55,1,1,2
345111.9,2.389,115.5,1,1,2
545874.5,0.6724,148.0,1,1,2
260781.9,2.748,99.26,2,1,2
268535.2,0.8735,158.9,2,1,2
654609.4,0.1964,161.5,2,1,2
759351.3,1.09,6600.9,2,1,2
420255.3,0.811,400.89,3,1,2
586285.6,0.3599,105.5,3,1,2
766337.3,1.402,318.9,3,1,2
820722.9,1.713,259.06,3,1,2
655086.1,0.1734,256.9,3,1,2
592722.1,0.35,4.4,4,1,2
602909.6,0.2114,47.37,4,1,2
849584.1,1.09,3701.0,4,1,2
863506.4,1.09,83.02,4,1,2
706342.4,1.09,1295.8,5,1,2
786106.2,1.09,11137.0,5,1,2
