energy,As74 + photon [inclusive] width,n + As73 width,J,Pi,L
-31.2424,0.6026363,0.02219425,2,1,0
31.88,0.6026363,0.02219425,2,1,0
63.76,0.6026363,0.03138741,2,1,0
95.64,0.6026363,0.03844157,2,1,0
127.52,0.6026363,0.0443885,2,1,0
159.4,0.6026363,0.04962786,2,1,0
191.28,0.6026363,0.0543646,2,1,0
223.16,0.6026363,0.05872047,2,1,0
255.04,0.6026363,0.06277483,2,1,0
286.92,0.6026363,0.06658276,2,1,0
318.8,0.6026363,0.07018439,2,1,0
350.68,0.6026363,0.07361001,2,1,0
382.56,0.6026363,0.07688314,2,1,0
414.44,0.6026363,0.08002251,2,1,0
446.32,0.6026363,0.08304328,2,1,0
478.2,0.6026363,0.08595797,2,1,0
510.08,0.6026363,0.08877701,2,1,0
541.96,0.6026363,0.09150925,2,1,0
573.84,0.6026363,0.09416224,2,1,0
605.72,0.6026363,0.0967425,2,1,0
637.6,0.6026363,0.09925571,2,1,0
669.48,0.6026363,0.1017068,2,1,0
701.36,0.6026363,0.1041003,2,1,0
733.24,0.6026363,0.1064399,2,1,0
765.12,0.6026363,0.1087292,2,1,0
