energy,Co60 + photon [inclusive] width,n + Co59 width,J,Pi,L
-5000.0,9.2151,557.68,3,1,0
-225.88,0.052141,9.1644,3,1,0
5016.0,1.3322,678.9601,3,1,0
8061.9,0.4078,40.833,3,1,0
9696.201,0.89112,1.5042,3,1,0
15655.0,0.91691,76.165,3,1,0
18671.0,0.32506,0.98771,3,1,0
19779.0,0.25115,2.1631,3,1,0
21956.0,0.5312,718.16,3,1,0
24478.0,0.65075,358.85,3,1,0
29454.0,0.41705,11.665,3,1,0
31442.0,0.57198,135.14,3,1,0
32811.0,0.69913,139.37,3,1,0
37194.0,0.21999,0.33716,3,1,0
40376.0,0.37323,23.354,3,1,0
40806.0,0.42004,1.2969,3,1,0
43843.0,0.35999,1.0532,3,1,0
45227.0,0.184,69.063,3,1,0
46017.0,0.45557,309.98,3,1,0
50556.0,0.38509,102.1,3,1,0
54068.0,0.95969,431.83,3,1,0
56529.0,0.099981,194.55,3,1,0
59254.0,0.67988,347.64,3,1,0
63899.0,0.32002,1.1943,3,1,0
65641.0,0.55011,2.4336,3,1,0
72227.0,1.3096,456.22,3,1,0
72699.0,0.32172,243.58,3,1,0
75085.0,0.55232,36.901,3,1,0
76915.0,0.22026,19.801,3,1,0
77400.0,0.66605,418.76,3,1,0
79874.0,0.21965,72.898,3,1,0
83567.0,0.57917,227.35,3,1,0
86765.0,0.44562,7.1725,3,1,0
90228.0,0.44469,9.1334,3,1,0
93131.0,0.44726,2633.7,3,1,0
95599.0,0.66657,50.376,3,1,0
98109.0,0.37789,807.73,3,1,0
100280.0,0.44451,0.027601,3,1,0
101640.0,0.44451,8.2197,3,1,0
105330.0,0.44451,4124.2,3,1,0
111400.0,0.44451,21.904,3,1,0
113210.0,0.44451,183.22,3,1,0
114870.0,0.44451,1692.2,3,1,0
118630.0,0.44451,2134.3,3,1,0
-5000.0,0.18682,189.81,4,1,0
-476.7,2.1489,0.01949,4,1,0
132.0,0.47,5.2701,4,1,0
4323.1,0.41737,104.14,4,1,0
6389.7,0.31556,1.6811,4,1,0
8756.6,0.17524,0.66596,4,1,0
10713.0,0.32805,65.774,4,1,0
12065.0,0.22617,0.094719,4,1,0
13292.0,0.53148,19.601,4,1,0
16943.0,0.49355,171.62,4,1,0
19175.0,0.20109,0.93925,4,1,0
21327.0,0.22009,0.5626,4,1,0
22538.0,0.26041,264.14,4,1,0
25174.0,0.55116,179.1,4,1,0
25969.0,0.58043,17.893,4,1,0
27377.0,0.50939,182.2,4,1,0
30139.0,0.51844,313.5,4,1,0
33101.0,0.31017,39.267,4,1,0
34957.0,0.39997,241.56,4,1,0
39547.0,0.19999,0.55378,4,1,0
41595.0,0.30046,35.803,4,1,0
42970.0,0.18006,1.687,4,1,0
45258.0,0.17855,258.87,4,1,0
47339.0,0.35165,47.506,4,1,0
49487.0,0.17,0.42362,4,1,0
51532.0,0.7792,457.75,4,1,0
53130.0,0.51069,70.961,4,1,0
60090.0,0.31073,92.431,4,1,0
61407.0,0.54012,78.584,4,1,0
63136.0,0.43042,49.768,4,1,0
64486.0,0.18003,1.5615,4,1,0
66415.0,0.25685,79.333,4,1,0
68929.0,0.49161,6.9616,4,1,0
69866.0,0.47111,19.628,4,1,0
70342.0,0.39004,243.14,4,1,0
76061.0,0.39039,8.9928,4,1,0
78128.0,0.41179,5.2248,4,1,0
79739.0,0.6403,226.44,4,1,0
81890.0,0.37565,266.78,4,1,0
84508.0,0.72039,352.31,4,1,0
86692.0,0.44538,6.3939,4,1,0
88726.0,0.47247,1193.2,4,1,0
91946.0,0.44534,25.621,4,1,0
93172.0,0.34881,409.29,4,1,0
95247.0,0.35762,516.11,4,1,0
97471.0,0.61119,74.57,4,1,0
98837.0,0.44453,2075.9,4,1,0
106630.0,0.44451,4846.8,4,1,0
108830.0,0.44451,199.95,4,1,0
110050.0,0.44451,144.86,4,1,0
110950.0,0.44451,67.843,4,1,0
112120.0,0.44451,107.06,4,1,0
114110.0,0.44451,13.265,4,1,0
116440.0,0.44451,83.767,4,1,0
117260.0,0.44451,608.6401,4,1,0
119400.0,0.44451,401.96,4,1,0
1385.8,0.49312,0.00768,3,-1,1
2861.5,0.47215,0.17718,3,-1,1
9439.201,0.42233,0.20684,3,-1,1
11872.0,0.29847,2.0034,3,-1,1
13232.0,0.24811,0.10734,3,-1,1
20887.0,0.21997,0.25446,3,-1,1
29210.0,0.21989,0.59473,3,-1,1
33388.0,0.30997,0.65747,3,-1,1
36271.0,0.22,1.1601,3,-1,1
36908.0,0.37,18.267,3,-1,1
46367.0,0.24,1.1455,3,-1,1
46566.0,0.24,1.016,3,-1,1
46852.0,0.22001,10.787,3,-1,1
49707.0,0.17004,4.653,3,-1,1
50378.0,0.17,0.56686,3,-1,1
51263.0,0.385,0.24242,3,-1,1
58308.0,0.36006,0.21454,3,-1,1
61329.0,0.29002,0.42346,3,-1,1
62437.0,0.25999,2.2014,3,-1,1
62772.0,0.53017,2.6178,3,-1,1
67367.0,0.47002,1.2689,3,-1,1
68708.0,0.30001,1.2606,3,-1,1
74853.0,0.26004,2.9148,3,-1,1
77653.0,0.46152,14.589,3,-1,1
79201.0,0.54185,2.71,3,-1,1
79512.0,0.3302,0.22453,3,-1,1
82674.0,0.46039,1.0575,3,-1,1
84760.0,0.39,0.72265,3,-1,1
88924.0,0.44451,1.5739,3,-1,1
91438.0,0.44472,5.0063,3,-1,1
92133.0,0.45098,3.9342,3,-1,1
94080.0,0.43446,0.49873,3,-1,1
98704.0,0.44531,28.036,3,-1,1
2277.2,0.49002,0.014306,4,-1,1
3988.2,0.20944,0.098229,4,-1,1
11678.0,0.21994,0.021304,4,-1,1
13656.0,0.21997,0.31706,4,-1,1
27240.0,0.22003,1.5801,4,-1,1
29956.0,0.22,0.020172,4,-1,1
31897.0,0.40008,6.3895,4,-1,1
34666.0,0.25993,2.989,4,-1,1
35586.0,0.46,0.57795,4,-1,1
39748.0,0.22,0.12189,4,-1,1
47728.0,0.28,0.14128,4,-1,1
47977.0,0.22,0.06065,4,-1,1
50959.0,0.2203,2.8529,4,-1,1
53567.0,0.50999,0.92353,4,-1,1
56761.0,0.1,2.1786,4,-1,1
57434.0,0.099998,0.97101,4,-1,1
58070.0,0.36009,13.303,4,-1,1
58922.0,0.35991,1.0018,4,-1,1
60600.0,0.29003,1.3537,4,-1,1
61973.0,0.52995,0.38367,4,-1,1
62585.0,0.53002,0.25802,4,-1,1
68033.0,0.47016,1.7625,4,-1,1
76314.0,0.6716,6.2293,4,-1,1
79388.0,0.34858,0.20063,4,-1,1
82881.0,0.62139,35.664,4,-1,1
85503.0,0.36003,0.96409,4,-1,1
89298.0,0.44453,8.502,4,-1,1
89511.0,0.44461,31.431,4,-1,1
91338.0,0.44452,1.1665,4,-1,1
91636.0,0.44482,3.9151,4,-1,1
96820.0,0.68504,5.8607,4,-1,1
99389.0,0.44451,0.59426,4,-1,1
